reaction_id	reaction_id_type	components	Reaction	mel_type	bridge_position
m_273230ibbbc	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbdd	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbdc	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbdb	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbda	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbbd	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbbb	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230ibbba	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbdc	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbdb	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbda	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbbd	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbbc	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbbb	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbba	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273230bbbdd	273230	3.0	[U]-[*:1].([*:2]-[U].[*:3]-[Np]).[Np]-[*:4]>>([*:1]-[*:2].[*:3]-[*:4])	bridge	2.0
m_273232bbbza	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbfa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbfb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbfc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbfd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbga	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbgb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbgc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbhd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbha	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbhb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbhc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbed	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbia	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbib	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbic	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbgd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbec	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbdc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbea	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbzb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
